Cycle,Capacity
50,4.94035
55,4.91762675
59,4.89944815
64,4.8767249
68,4.8585463
73,4.83582305
77,4.81764445
82,4.7949212
86,4.7767426
91,4.75401935
95,4.73584075
100,4.7131175
106,4.70491299180328
111,4.69807590163934
117,4.68987139344262
122,4.68303430327869
128,4.67482979508197
133,4.66799270491803
139,4.65978819672131
144,4.65295110655738
150,4.64474659836066
155,4.63790950819672
161,4.629705
166,4.62290525
170,4.61746545
175,4.6106657
179,4.6052259
184,4.59842615
188,4.59298635
193,4.5861866
197,4.5807468
202,4.57394705
206,4.56850725
211,4.5617075
216,4.5599475
220,4.5585395
225,4.5567795
229,4.5553715
234,4.5536115
238,4.5522035
243,4.5504435
247,4.5490355
252,4.5472755
256,4.5458675
261,4.5441075
266,4.54051625
270,4.53764325
275,4.534052
279,4.531179
284,4.52758775
288,4.52471475
293,4.5211235
297,4.5182505
302,4.51465925
306,4.51178625
311,4.508195
316,4.50500325
320,4.50244985
325,4.4992581
329,4.4967047
334,4.49351295
338,4.49095955
343,4.4877678
347,4.4852144
352,4.48202265
356,4.47946925
361,4.4762775
366,4.47470775
370,4.47345195
375,4.4718822
379,4.4706264
384,4.46905665
388,4.46780085
393,4.4662311
397,4.4649753
402,4.46340555
406,4.46214975
411,4.46058
416,4.45677175
420,4.45372515
425,4.4499169
429,4.4468703
434,4.44306205
438,4.44001545
443,4.4362072
447,4.4331606
452,4.42935235
456,4.42630575
461,4.4224975
466,4.41983075
470,4.41769735
475,4.4150306
479,4.4128972
484,4.41023045
488,4.40809705
493,4.4054303
497,4.4032969
502,4.40063015
506,4.39849675
511,4.39583
516,4.39361225
520,4.39183805
525,4.3896203
529,4.3878461
534,4.38562835
538,4.38385415
543,4.3816364
547,4.3798622
552,4.37764445
556,4.37587025
561,4.3736525
566,4.37160775
570,4.36997195
575,4.3679272
579,4.3662914
584,4.36424665
588,4.36261085
593,4.3605661
597,4.3589303
602,4.35688555
606,4.35524975
611,4.353205
616,4.3517115
620,4.3505167
625,4.3490232
629,4.3478284
634,4.3463349
638,4.3451401
643,4.3436466
647,4.3424518
652,4.3409583
656,4.3397635
661,4.33827
666,4.3368675
670,4.3357455
675,4.334343
679,4.333221
684,4.3318185
688,4.3306965
693,4.329294
697,4.328172
702,4.3267695
706,4.3256475
711,4.324245
716,4.32153775
720,4.31937195
725,4.3166647
729,4.3144989
734,4.31179165
738,4.30962585
743,4.3069186
747,4.3047528
752,4.30204555
756,4.29987975
761,4.2971725
766,4.295493
770,4.2941494
775,4.2924699
779,4.2911263
784,4.2894468
788,4.2881032
793,4.2864237
797,4.2850801
802,4.2834006
806,4.282057
811,4.2803775
816,4.28646325
820,4.29133185
825,4.2974176
829,4.3022862
834,4.30837195
838,4.31324055
843,4.3193263
847,4.3241949
852,4.33028065
856,4.33514925
861,4.341235
866,4.332502
870,4.3255156
875,4.3167826
879,4.3097962
884,4.3010632
888,4.2940768
893,4.2853438
897,4.2783574
902,4.2696244
906,4.262638
911,4.253905
916,4.25130775
920,4.24922995
925,4.2466327
929,4.2445549
934,4.24195765
938,4.23987985
943,4.2372826
947,4.2352048
952,4.23260755
956,4.23052975
961,4.2279325
966,4.22616525
970,4.22475145
975,4.2229842
979,4.2215704
984,4.21980315
988,4.21838935
993,4.2166221
997,4.2152083
1002,4.21344105
1006,4.21202725
1011,4.21026
1016,4.20834425
1020,4.20681165
1025,4.2048959
1029,4.2033633
1034,4.20144755
1038,4.19991495
1043,4.1979992
1047,4.1964666
1052,4.19455085
1056,4.19301825
1061,4.1911025
1066,4.190273
1070,4.1896094
1075,4.1887799
1079,4.1881163
1084,4.1872868
1088,4.1866232
1093,4.1857937
1097,4.1851301
1102,4.1843006
1106,4.183637
1111,4.1828075
1116,4.1810245
1120,4.1795981
1125,4.1778151
1129,4.1763887
1134,4.1746057
1138,4.1731793
1143,4.1713963
1147,4.1699699
1152,4.1681869
1156,4.1667605
1161,4.1649775
1166,4.16279775
1170,4.16105395
1175,4.1588742
1179,4.1571304
1184,4.15495065
1188,4.15320685
1193,4.1510271
1197,4.1492833
1202,4.14710355
1206,4.14535975
1211,4.14318
1216,4.1409845
1220,4.1392281
1225,4.1370326
1229,4.1352762
1234,4.1330807
1238,4.1313243
1243,4.1291288
1247,4.1273724
1252,4.1251769
1256,4.1234205
1261,4.121225
1266,4.1199415
1270,4.1189147
1275,4.1176312
1279,4.1166044
1284,4.1153209
1288,4.1142941
1293,4.1130106
1297,4.1119838
1302,4.1107003
1306,4.1096735
1311,4.10839
1316,4.106885
1320,4.105681
1325,4.104176
1329,4.102972
1334,4.101467
1338,4.100263
1343,4.098758
1347,4.097554
1352,4.096049
1356,4.094845
1361,4.09334
1366,4.08918125
1370,4.08585425
1375,4.0816955
1379,4.0783685
1384,4.07420975
1388,4.07088275
1393,4.066724
1397,4.063397
1402,4.05923825
1406,4.05591125
1411,4.0517525
1416,4.04858475
1420,4.04605055
1425,4.0428828
1429,4.0403486
1434,4.03718085
1438,4.03464665
1443,4.0314789
1447,4.0289447
1452,4.02577695
1456,4.02324275
1461,4.020075
1466,4.0262545
1470,4.0311981
1475,4.0373776
1479,4.0423212
1484,4.0485007
1488,4.0534443
1493,4.0596238
1497,4.0645674
1502,4.0707469
1506,4.0756905
1511,4.08187
1516,4.07592925
1520,4.07117665
1525,4.0652359
1529,4.0604833
1534,4.05454255
1538,4.04978995
1543,4.0438492
1547,4.0390966
1552,4.03315585
1556,4.02840325
1561,4.0224625
1566,4.02162
1570,4.020946
1575,4.0201035
1579,4.0194295
1584,4.018587
1588,4.017913
1593,4.0170705
1597,4.0163965
1602,4.015554
1606,4.01488
1611,4.0140375
1616,4.0100355
1620,4.0068339
1625,4.0028319
1629,3.9996303
1634,3.9956283
1638,3.9924267
1643,3.9884247
1647,3.9852231
1652,3.9812211
1656,3.9780195
1661,3.9740175
1666,3.974093
1670,3.9741534
1675,3.9742289
1679,3.9742893
1684,3.9743648
1688,3.9744252
1693,3.9745007
1697,3.9745611
1702,3.9746366
1706,3.974697
1711,3.9747725
